file_key,rep,combo_idx,amp,cutoff0,cutoff1,numValid,eps_ratio,swer,errors,gt_syllables,num_intervals,hit_rate,eff_rate,error
01-1,(none),56,1.01,0,5400,5000,0.02,0.030973,7,226,113,0.9211,0.9708,
01-1,(none),60,1.01,0,5400,5000,0.04,0.035398,8,226,117,0.938,0.9606,
01-1,(none),38,1.01,0,5400,5000,0.02,0.026549,6,226,113,0.9211,0.9708,
01-1,(none),42,1.01,0,5400,5000,0.04,0.030973,7,226,117,0.938,0.9606,
01-1,(none),200,1.1,0,5400,5000,0.02,0.035398,8,226,117,0.9421,0.952,
01-1,(none),204,1.1,0,5400,5000,0.04,0.039823,9,226,121,0.9488,0.9381,
01-2,(none),38,1.01,0,5400,5000,0.02,0.064,16,250,134,0.9449,0.9754,
01-2,(none),42,1.01,0,5400,5000,0.04,0.06,15,250,135,0.9605,0.9702,
01-2,(none),200,1.1,0,5400,5000,0.02,0.06,15,250,135,0.9723,0.9698,
01-2,(none),204,1.1,0,5400,5000,0.04,0.056,14,250,137,0.9743,0.9626,
01-2,(none),362,1.2,0,5400,5000,0.02,0.056,14,250,137,0.9789,0.9565,
01-2,(none),366,1.2,0,5400,5000,0.04,0.06,15,250,139,0.9807,0.9518,
01-3,(none),38,1.01,0,5400,5000,0.02,0.015748,4,254,134,0.9298,0.9679,
01-3,(none),42,1.01,0,5400,5000,0.04,0.015748,4,254,134,0.9504,0.966,
01-3,(none),200,1.1,0,5400,5000,0.02,0.019685,5,254,138,0.9581,0.9543,
01-3,(none),204,1.1,0,5400,5000,0.04,0.019685,5,254,139,0.9566,0.9517,
01-3,(none),362,1.2,0,5400,5000,0.02,0.019685,5,254,138,0.9803,0.9448,
01-3,(none),366,1.2,0,5400,5000,0.04,0.023622,6,254,139,0.9801,0.9379,
01-4,(none),38,1.01,0,5400,5000,0.02,0.042056,9,214,109,0.919,0.9797,
01-4,(none),42,1.01,0,5400,5000,0.04,0.028037,6,214,110,0.9302,0.9786,
01-4,(none),200,1.1,0,5400,5000,0.02,0.03271,7,214,111,0.9397,0.9752,
01-4,(none),204,1.1,0,5400,5000,0.04,0.028037,6,214,111,0.9423,0.9749,
01-4,(none),362,1.2,0,5400,5000,0.02,0.03271,7,214,112,0.965,0.9626,
01-4,(none),366,1.2,0,5400,5000,0.04,0.023364,5,214,112,0.9655,0.9629,
02-1,(none),38,1.01,0,5400,5000,0.02,0.0,0,226,113,0.915,0.9948,
02-1,(none),42,1.01,0,5400,5000,0.04,0.0,0,226,113,0.9137,0.9948,
02-1,(none),200,1.1,0,5400,5000,0.02,0.0,0,226,113,0.9492,0.9903,
02-1,(none),204,1.1,0,5400,5000,0.04,0.0,0,226,113,0.95,0.9903,
02-1,(none),362,1.2,0,5400,5000,0.02,0.0,0,226,113,0.9668,0.9867,
02-1,(none),366,1.2,0,5400,5000,0.04,0.0,0,226,113,0.967,0.9867,
02-2,(none),38,1.01,0,5400,5000,0.02,0.024194,6,248,125,0.9206,0.9959,
02-2,(none),42,1.01,0,5400,5000,0.04,0.028226,7,248,125,0.917,0.9965,
02-2,(none),200,1.1,0,5400,5000,0.02,0.032258,8,248,125,0.882,0.9948,
02-2,(none),204,1.1,0,5400,5000,0.04,0.020161,5,248,125,0.9474,0.9946,
02-2,(none),362,1.2,0,5400,5000,0.02,0.028226,7,248,125,0.9668,0.993,
02-2,(none),366,1.2,0,5400,5000,0.04,0.020161,5,248,125,0.9671,0.993,
02-3,(none),38,1.01,0,5400,5000,0.02,0.00885,2,226,113,0.939,0.9928,
02-3,(none),42,1.01,0,5400,5000,0.04,0.00885,2,226,113,0.9368,0.9926,
02-3,(none),200,1.1,0,5400,5000,0.02,0.017699,4,226,113,0.9583,0.9907,
02-3,(none),204,1.1,0,5400,5000,0.04,0.017699,4,226,113,0.9583,0.9907,
02-3,(none),362,1.2,0,5400,5000,0.02,0.013274,3,226,113,0.976,0.9871,
02-3,(none),366,1.2,0,5400,5000,0.04,0.013274,3,226,113,0.976,0.9871,
02-4,(none),38,1.01,0,5400,5000,0.02,0.019704,4,203,103,0.9303,0.9932,
02-4,(none),42,1.01,0,5400,5000,0.04,0.014778,3,203,103,0.9336,0.9932,
02-4,(none),200,1.1,0,5400,5000,0.02,0.014778,3,203,103,0.9075,0.989,
02-4,(none),204,1.1,0,5400,5000,0.04,0.009852,2,203,103,0.9584,0.989,
02-4,(none),362,1.2,0,5400,5000,0.02,0.014778,3,203,103,0.9196,0.9856,
02-4,(none),366,1.2,0,5400,5000,0.04,0.009852,2,203,103,0.972,0.9856,
01-1,(none),0,1.01,0,5400,5000,0.02,0.026549,6,226,113,0.9708,0.9211,
01-1,(none),1,1.01,0,5400,5000,0.04,0.030973,7,226,117,0.9606,0.938,
01-1,(none),2,1.01,0,5400,5000,0.06,0.030973,7,226,119,0.9554,0.9377,
01-1,(none),3,1.1,0,5400,5000,0.02,0.035398,8,226,117,0.952,0.9421,
01-1,(none),4,1.1,0,5400,5000,0.04,0.035398,8,226,121,0.9381,0.9488,
01-1,(none),5,1.1,0,5400,5000,0.06,0.048673,11,226,120,0.9271,0.9541,
01-1,(none),6,1.2,0,5400,5000,0.02,0.048673,11,226,116,0.9377,0.9572,
01-1,(none),7,1.2,0,5400,5000,0.04,0.039823,9,226,119,0.9269,0.9635,
01-1,(none),8,1.2,0,5400,5000,0.06,0.066372,15,226,120,0.9214,0.9627,
01-1,(none),9,1.3,0,5400,5000,0.02,0.066372,15,226,116,0.9327,0.9599,
01-1,(none),10,1.3,0,5400,5000,0.04,0.061947,14,226,119,0.918,0.9683,
01-1,(none),11,1.3,0,5400,5000,0.06,0.066372,15,226,120,0.9079,0.9676,
01-1,(none),12,1.4,0,5400,5000,0.02,0.061947,14,226,116,0.9256,0.9576,
01-1,(none),13,1.4,0,5400,5000,0.04,0.079646,18,226,119,0.9063,0.9722,
01-1,(none),14,1.4,0,5400,5000,0.06,0.09292,21,226,119,0.8917,0.971,
01-1,(none),15,1.5,0,5400,5000,0.02,0.09292,21,226,116,0.8986,0.9714,
01-1,(none),16,1.5,0,5400,5000,0.04,0.097345,22,226,117,0.8913,0.9745,
01-1,(none),17,1.5,0,5400,5000,0.06,0.106195,24,226,118,0.8827,0.9748,
01-1,(none),18,1.7,0,5400,5000,0.02,0.09292,21,226,116,0.8862,0.9675,
01-1,(none),19,1.7,0,5400,5000,0.04,0.084071,19,226,119,0.8843,0.9703,
01-1,(none),20,1.7,0,5400,5000,0.06,0.123894,28,226,120,0.8667,0.9702,
01-1,(none),21,2.0,0,5400,5000,0.02,0.137168,31,226,117,0.8508,0.9675,
01-1,(none),22,2.0,0,5400,5000,0.04,0.123894,28,226,121,0.8429,0.9704,
01-1,(none),23,2.0,0,5400,5000,0.06,0.128319,29,226,122,0.8386,0.9708,
01-2,(none),0,1.01,0,5400,5000,0.02,0.068,17,250,134,0.9754,0.9449,
01-2,(none),1,1.01,0,5400,5000,0.04,0.056,14,250,135,0.9702,0.9605,
01-2,(none),2,1.01,0,5400,5000,0.06,0.06,15,250,136,0.9666,0.9603,
01-2,(none),3,1.1,0,5400,5000,0.02,0.06,15,250,135,0.9698,0.9723,
01-2,(none),4,1.1,0,5400,5000,0.04,0.056,14,250,137,0.9626,0.9743,
01-2,(none),5,1.1,0,5400,5000,0.06,0.064,16,250,137,0.9567,0.9742,
01-2,(none),6,1.2,0,5400,5000,0.02,0.052,13,250,137,0.9565,0.9789,
01-2,(none),7,1.2,0,5400,5000,0.04,0.068,17,250,139,0.9518,0.9807,
01-2,(none),8,1.2,0,5400,5000,0.06,0.08,20,250,140,0.9422,0.9807,
01-2,(none),9,1.3,0,5400,5000,0.02,0.06,15,250,138,0.9474,0.976,
01-2,(none),10,1.3,0,5400,5000,0.04,0.068,17,250,139,0.9385,0.9848,
01-2,(none),11,1.3,0,5400,5000,0.06,0.06,15,250,140,0.9372,0.9848,
01-2,(none),12,1.4,0,5400,5000,0.02,0.068,17,250,139,0.9351,0.9796,
01-2,(none),13,1.4,0,5400,5000,0.04,0.068,17,250,139,0.9286,0.986,
01-2,(none),14,1.4,0,5400,5000,0.06,0.076,19,250,142,0.9283,0.986,
01-2,(none),15,1.5,0,5400,5000,0.02,0.072,18,250,140,0.9286,0.9507,
01-2,(none),16,1.5,0,5400,5000,0.04,0.076,19,250,139,0.9188,0.9679,
01-2,(none),17,1.5,0,5400,5000,0.06,0.068,17,250,141,0.9125,0.9866,
01-2,(none),18,1.7,0,5400,5000,0.02,0.072,18,250,144,0.8989,0.9507,
01-2,(none),19,1.7,0,5400,5000,0.04,0.076,19,250,146,0.8867,0.9736,
01-2,(none),20,1.7,0,5400,5000,0.06,0.084,21,250,150,0.8781,0.9874,
01-2,(none),21,2.0,0,5400,5000,0.02,0.076,19,250,147,0.8757,0.9535,
01-2,(none),22,2.0,0,5400,5000,0.04,0.088,22,250,148,0.8621,0.9852,
01-2,(none),23,2.0,0,5400,5000,0.06,0.084,21,250,154,0.8552,0.9851,
01-3,(none),0,1.01,0,5400,5000,0.02,0.019685,5,254,134,0.9679,0.9298,
01-3,(none),1,1.01,0,5400,5000,0.04,0.015748,4,254,134,0.966,0.9504,
01-3,(none),2,1.01,0,5400,5000,0.06,0.023622,6,254,136,0.9591,0.9347,
01-3,(none),3,1.1,0,5400,5000,0.02,0.023622,6,254,138,0.9543,0.9581,
01-3,(none),4,1.1,0,5400,5000,0.04,0.023622,6,254,139,0.9517,0.9566,
01-3,(none),5,1.1,0,5400,5000,0.06,0.019685,5,254,142,0.9442,0.9563,
01-3,(none),6,1.2,0,5400,5000,0.02,0.019685,5,254,138,0.9448,0.9803,
01-3,(none),7,1.2,0,5400,5000,0.04,0.023622,6,254,139,0.9379,0.9801,
01-3,(none),8,1.2,0,5400,5000,0.06,0.023622,6,254,140,0.9345,0.973,
01-3,(none),9,1.3,0,5400,5000,0.02,0.019685,5,254,139,0.9327,0.9837,
01-3,(none),10,1.3,0,5400,5000,0.04,0.023622,6,254,142,0.923,0.9834,
01-3,(none),11,1.3,0,5400,5000,0.06,0.023622,6,254,143,0.9196,0.9849,
01-3,(none),12,1.4,0,5400,5000,0.02,0.023622,6,254,139,0.922,0.988,
01-3,(none),13,1.4,0,5400,5000,0.04,0.023622,6,254,141,0.9167,0.9879,
01-3,(none),14,1.4,0,5400,5000,0.06,0.023622,6,254,142,0.914,0.9879,
01-3,(none),15,1.5,0,5400,5000,0.02,0.035433,9,254,142,0.8988,0.9899,
01-3,(none),16,1.5,0,5400,5000,0.04,0.031496,8,254,143,0.8952,0.9899,
01-3,(none),17,1.5,0,5400,5000,0.06,0.035433,9,254,144,0.8925,0.9899,
01-3,(none),18,1.7,0,5400,5000,0.02,0.055118,14,254,143,0.8787,0.9936,
01-3,(none),19,1.7,0,5400,5000,0.04,0.051181,13,254,145,0.8735,0.9953,
01-3,(none),20,1.7,0,5400,5000,0.06,0.051181,13,254,147,0.8688,0.9952,
01-3,(none),21,2.0,0,5400,5000,0.02,0.086614,22,254,145,0.8422,0.9889,
01-3,(none),22,2.0,0,5400,5000,0.04,0.090551,23,254,148,0.8324,0.9961,
01-3,(none),23,2.0,0,5400,5000,0.06,0.106299,27,254,147,0.8348,0.9962,
01-4,(none),0,1.01,0,5400,5000,0.02,0.042056,9,214,109,0.9797,0.919,
01-4,(none),1,1.01,0,5400,5000,0.04,0.023364,5,214,110,0.9786,0.9302,
01-4,(none),2,1.01,0,5400,5000,0.06,0.03271,7,214,112,0.973,0.9298,
01-4,(none),3,1.1,0,5400,5000,0.02,0.03271,7,214,111,0.9752,0.9397,
01-4,(none),4,1.1,0,5400,5000,0.04,0.028037,6,214,111,0.9749,0.9423,
01-4,(none),5,1.1,0,5400,5000,0.06,0.023364,5,214,114,0.9667,0.9423,
01-4,(none),6,1.2,0,5400,5000,0.02,0.03271,7,214,112,0.9626,0.965,
01-4,(none),7,1.2,0,5400,5000,0.04,0.023364,5,214,112,0.9629,0.9655,
01-4,(none),8,1.2,0,5400,5000,0.06,0.023364,5,214,113,0.9588,0.9526,
01-4,(none),9,1.3,0,5400,5000,0.02,0.037383,8,214,112,0.9566,0.9658,
01-4,(none),10,1.3,0,5400,5000,0.04,0.028037,6,214,111,0.962,0.9639,
01-4,(none),11,1.3,0,5400,5000,0.06,0.03271,7,214,111,0.9577,0.9647,
01-4,(none),12,1.4,0,5400,5000,0.02,0.037383,8,214,112,0.952,0.9677,
01-4,(none),13,1.4,0,5400,5000,0.04,0.028037,6,214,111,0.9556,0.9655,
01-4,(none),14,1.4,0,5400,5000,0.06,0.03271,7,214,111,0.9528,0.9658,
01-4,(none),15,1.5,0,5400,5000,0.02,0.037383,8,214,112,0.941,0.9657,
01-4,(none),16,1.5,0,5400,5000,0.04,0.028037,6,214,112,0.9411,0.9704,
01-4,(none),17,1.5,0,5400,5000,0.06,0.023364,5,214,111,0.9416,0.9683,
01-4,(none),18,1.7,0,5400,5000,0.02,0.046729,10,214,113,0.9156,0.9892,
01-4,(none),19,1.7,0,5400,5000,0.04,0.028037,6,214,116,0.9061,0.9829,
01-4,(none),20,1.7,0,5400,5000,0.06,0.046729,10,214,117,0.9031,0.983,
01-4,(none),21,2.0,0,5400,5000,0.02,0.074766,16,214,118,0.8588,0.9792,
01-4,(none),22,2.0,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
01-4,(none),23,2.0,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),0,1.01,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),1,1.01,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),2,1.01,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),3,1.1,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),4,1.1,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),5,1.1,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),6,1.2,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),7,1.2,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),8,1.2,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),9,1.3,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),10,1.3,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),11,1.3,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),12,1.4,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),13,1.4,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),14,1.4,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),15,1.5,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),16,1.5,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),17,1.5,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),18,1.7,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),19,1.7,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),20,1.7,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),21,2.0,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),22,2.0,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-1,(none),23,2.0,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),0,1.01,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),1,1.01,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),2,1.01,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),3,1.1,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),4,1.1,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),5,1.1,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),6,1.2,0,5400,5000,0.02,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),7,1.2,0,5400,5000,0.04,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
02-2,(none),8,1.2,0,5400,5000,0.06,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
