file_key,rep,combo_idx,amp,cutoff0,cutoff1,numValid,eps_ratio,swer,errors,gt_syllables,num_intervals,hit_rate,eff_rate,error
01-1,(none),0,1.01,0,3600,1000,0.01,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
01-1,(none),1,1.01,0,3600,1000,0.015,1.0,-1,-1,-1,0.0,0.0,cannot access local variable 'data_src' where it is not associated with a value
01-1,(none),0,1.01,0,3600,1000,0.01,0.061947,14,226,99,0.7989,0.9765,
01-1,(none),1,1.01,0,3600,1000,0.015,0.035398,8,226,114,0.909,0.9695,
01-1,(none),0,1.01,0,3600,1000,0.01,0.061947,14,226,99,0.7989,0.9765,
01-1,(none),1,1.01,0,3600,1000,0.015,0.035398,8,226,114,0.909,0.9695,
01-1,(none),2,1.01,0,3600,1000,0.02,0.030973,7,226,114,0.937,0.9681,
01-1,(none),3,1.01,0,3600,1000,0.025,0.022124,5,226,114,0.9366,0.9683,
01-1,(none),4,1.01,0,3600,1000,0.03,0.026549,6,226,114,0.939,0.967,
01-1,(none),5,1.01,0,3600,1000,0.035,0.026549,6,226,114,0.9429,0.9662,
01-1,(none),6,1.01,0,3600,1000,0.04,0.026549,6,226,115,0.944,0.964,
01-1,(none),7,1.01,0,3600,1000,0.045,0.026549,6,226,115,0.9444,0.964,
01-1,(none),8,1.01,0,3600,1000,0.05,0.022124,5,226,115,0.9447,0.9633,
01-1,(none),9,1.01,0,3600,2000,0.01,0.053097,12,226,103,0.8404,0.9714,
01-1,(none),10,1.01,0,3600,2000,0.015,0.030973,7,226,114,0.9182,0.9625,
01-1,(none),11,1.01,0,3600,2000,0.02,0.013274,3,226,114,0.9441,0.9614,
01-1,(none),12,1.01,0,3600,2000,0.025,0.017699,4,226,114,0.9449,0.9608,
01-1,(none),13,1.01,0,3600,2000,0.03,0.017699,4,226,114,0.9456,0.9597,
01-1,(none),14,1.01,0,3600,2000,0.035,0.013274,3,226,115,0.9529,0.9586,
01-1,(none),15,1.01,0,3600,2000,0.04,0.026549,6,226,115,0.9529,0.9586,
01-1,(none),16,1.01,0,3600,2000,0.045,0.022124,5,226,116,0.9528,0.9556,
01-1,(none),17,1.01,0,3600,2000,0.05,0.030973,7,226,115,0.9535,0.9585,
01-1,(none),18,1.01,0,3600,5000,0.01,0.053097,12,226,108,0.8968,0.9627,
01-1,(none),19,1.01,0,3600,5000,0.015,0.022124,5,226,114,0.9439,0.9624,
01-1,(none),20,1.01,0,3600,5000,0.02,0.022124,5,226,115,0.9521,0.9614,
01-1,(none),21,1.01,0,3600,5000,0.025,0.017699,4,226,115,0.9532,0.9604,
01-1,(none),22,1.01,0,3600,5000,0.03,0.035398,8,226,115,0.9537,0.9553,
01-1,(none),23,1.01,0,3600,5000,0.035,0.026549,6,226,115,0.9552,0.9542,
01-1,(none),24,1.01,0,3600,5000,0.04,0.026549,6,226,115,0.9552,0.9542,
01-1,(none),25,1.01,0,3600,5000,0.045,0.030973,7,226,115,0.9552,0.9542,
01-1,(none),26,1.01,0,3600,5000,0.05,0.026549,6,226,115,0.9558,0.9585,
01-1,(none),27,1.01,0,3600,10000,0.01,0.106195,24,226,105,0.8984,0.9434,
01-1,(none),28,1.01,0,3600,10000,0.015,0.061947,14,226,112,0.9424,0.9579,
01-1,(none),29,1.01,0,3600,10000,0.02,0.044248,10,226,113,0.9486,0.96,
01-1,(none),30,1.01,0,3600,10000,0.025,0.048673,11,226,113,0.9501,0.959,
01-1,(none),31,1.01,0,3600,10000,0.03,0.057522,13,226,113,0.9507,0.9529,
01-1,(none),32,1.01,0,3600,10000,0.035,0.053097,12,226,113,0.9515,0.9521,
01-1,(none),33,1.01,0,3600,10000,0.04,0.057522,13,226,113,0.9518,0.9482,
01-1,(none),34,1.01,0,3600,10000,0.045,0.061947,14,226,113,0.9518,0.9482,
01-1,(none),35,1.01,0,3600,10000,0.05,0.061947,14,226,113,0.9521,0.9481,
01-1,(none),36,1.01,0,5400,1000,0.01,0.039823,9,226,98,0.7892,0.9844,
01-1,(none),37,1.01,0,5400,1000,0.015,0.026549,6,226,112,0.8823,0.9831,
